
2024/04/19 (11:48:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (18:35:44) | ===> btop++ v.1.3.2
2024/04/19 (18:35:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/21 (17:57:27) | ===> btop++ v.1.3.2
2024/04/21 (17:57:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (20:38:10) | ===> btop++ v.1.3.2
2024/04/26 (20:38:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (12:47:31) | ===> btop++ v.1.3.2
2024/05/12 (12:47:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (16:10:49) | ===> btop++ v.1.3.2
2024/05/13 (16:10:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (22:50:49) | ===> btop++ v.1.3.2
2024/05/13 (22:50:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (22:58:55) | ===> btop++ v.1.3.2
2024/05/13 (22:58:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (23:26:53) | ===> btop++ v.1.3.2
2024/05/13 (23:26:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/17 (10:06:07) | ===> btop++ v.1.3.2
2024/05/17 (10:06:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (18:30:19) | ===> btop++ v.1.3.2
2024/05/21 (18:30:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (18:51:57) | ===> btop++ v.1.3.2
2024/05/21 (18:51:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (13:50:53) | ===> btop++ v.1.3.2
2024/05/23 (13:50:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (00:31:53) | ===> btop++ v.1.3.2
2024/05/24 (00:31:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (21:58:21) | ===> btop++ v.1.3.2
2024/05/24 (21:58:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (22:33:25) | ===> btop++ v.1.3.2
2024/05/24 (22:33:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (22:00:33) | ===> btop++ v.1.3.2
2024/05/31 (22:00:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (22:20:11) | ===> btop++ v.1.3.2
2024/05/31 (22:20:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (05:44:57) | ===> btop++ v.1.3.2
2024/06/07 (05:44:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (15:00:35) | ===> btop++ v.1.3.2
2024/06/10 (15:00:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (10:10:47) | ===> btop++ v.1.3.2
2024/06/11 (10:10:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (16:27:52) | ===> btop++ v.1.3.2
2024/06/11 (16:27:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (17:44:38) | ===> btop++ v.1.3.2
2024/06/14 (17:44:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (12:48:33) | ===> btop++ v.1.3.2
2024/06/16 (12:48:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:38:39) | ===> btop++ v.1.3.2
2024/06/18 (21:38:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (16:44:32) | ===> btop++ v.1.3.2
2024/06/22 (16:44:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (21:49:31) | ===> btop++ v.1.3.2
2024/06/23 (21:49:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (19:41:42) | ===> btop++ v.1.3.2
2024/06/24 (19:41:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (20:17:40) | ===> btop++ v.1.3.2
2024/06/24 (20:17:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (23:46:17) | ===> btop++ v.1.3.2
2024/06/24 (23:46:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (10:46:25) | ===> btop++ v.1.3.2
2024/06/30 (10:46:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (23:44:50) | ===> btop++ v.1.3.2
